trace,workload,condition,step,prompt_token_count,prefix_caching,cached_tokens,cached_tokens_available,cached_tokens_source,cached_span_tokens,cached_token_delta,cross_check_status,cross_check_pass,cross_check_note
coding_agent_cache_off.jsonl,coding_agent,cache_off,1,72,False,0,True,request_output.num_cached_tokens,0,0,passed,True,
coding_agent_cache_off.jsonl,coding_agent,cache_off,2,175,False,0,True,request_output.num_cached_tokens,0,0,passed,True,
coding_agent_cache_off.jsonl,coding_agent,cache_off,3,336,False,0,True,request_output.num_cached_tokens,0,0,passed,True,
coding_agent_cache_off.jsonl,coding_agent,cache_off,4,455,False,0,True,request_output.num_cached_tokens,0,0,passed,True,
coding_agent_cache_off.jsonl,coding_agent,cache_off,5,533,False,0,True,request_output.num_cached_tokens,0,0,passed,True,
coding_agent_cache_on.jsonl,coding_agent,cache_on,1,72,True,0,True,request_output.num_cached_tokens,0,0,passed,True,
coding_agent_cache_on.jsonl,coding_agent,cache_on,2,175,True,128,True,request_output.num_cached_tokens,128,0,passed,True,
coding_agent_cache_on.jsonl,coding_agent,cache_on,3,333,True,288,True,request_output.num_cached_tokens,288,0,passed,True,
coding_agent_cache_on.jsonl,coding_agent,cache_on,4,462,True,432,True,request_output.num_cached_tokens,432,0,passed,True,
coding_agent_cache_on.jsonl,coding_agent,cache_on,5,548,True,496,True,request_output.num_cached_tokens,496,0,passed,True,
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,1,1826,True,0,True,request_output.num_cached_tokens,0,0,passed,True,
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,2,3878,True,2208,True,request_output.num_cached_tokens,2208,0,passed,True,
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,3,4267,True,4256,True,request_output.num_cached_tokens,4256,0,passed,True,
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,4,5928,True,4640,True,request_output.num_cached_tokens,4640,0,passed,True,
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,5,6335,True,6304,True,request_output.num_cached_tokens,6304,0,passed,True,
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,1,1826,True,0,True,request_output.num_cached_tokens,0,0,passed,True,
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,2,3878,True,2208,True,request_output.num_cached_tokens,2208,0,passed,True,
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,3,977,True,48,True,request_output.num_cached_tokens,48,0,passed,True,
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,4,2638,True,1360,True,request_output.num_cached_tokens,1360,0,passed,True,
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,5,3045,True,3008,True,request_output.num_cached_tokens,3008,0,passed,True,
search_agent_broad.jsonl,search_agent,broad,1,81,True,0,True,request_output.num_cached_tokens,0,0,passed,True,
search_agent_broad.jsonl,search_agent,broad,2,752,True,400,True,request_output.num_cached_tokens,400,0,passed,True,
search_agent_broad.jsonl,search_agent,broad,3,1431,True,1072,True,request_output.num_cached_tokens,1072,0,passed,True,
search_agent_broad.jsonl,search_agent,broad,4,1784,True,1760,True,request_output.num_cached_tokens,1760,0,passed,True,
search_agent_targeted.jsonl,search_agent,targeted,1,81,True,0,True,request_output.num_cached_tokens,0,0,passed,True,
search_agent_targeted.jsonl,search_agent,targeted,2,535,True,400,True,request_output.num_cached_tokens,400,0,passed,True,
search_agent_targeted.jsonl,search_agent,targeted,3,994,True,864,True,request_output.num_cached_tokens,864,0,passed,True,
search_agent_targeted.jsonl,search_agent,targeted,4,1347,True,1312,True,request_output.num_cached_tokens,1312,0,passed,True,
