trace,step,working_set_kv_bytes,new_prefill_kv_bytes,carried_kv_bytes,carried_fraction
coding_agent_cache_off,1,4128768,4128768,0,0.0
coding_agent_cache_off,2,10035200,5906432,4128768,0.4114
coding_agent_cache_off,3,19267584,9232384,10035200,0.5208
coding_agent_cache_off,4,26091520,6823936,19267584,0.7385
coding_agent_cache_off,5,30564352,2580480,27983872,0.9156
coding_agent_cache_on,1,4128768,4128768,0,0.0
coding_agent_cache_on,2,10035200,5906432,4128768,0.4114
coding_agent_cache_on,3,19095552,9060352,10035200,0.5255
coding_agent_cache_on,4,26492928,7397376,19095552,0.7208
coding_agent_cache_on,5,31424512,3039232,28385280,0.9033
compaction_agent_compaction_off,1,104710144,104710144,0,0.0
compaction_agent_compaction_off,2,222380032,117669888,104710144,0.4709
compaction_agent_compaction_off,3,244686848,22306816,222380032,0.9088
compaction_agent_compaction_off,4,339935232,72941568,266993664,0.7854
compaction_agent_compaction_off,5,363274240,23339008,339935232,0.9358
compaction_agent_compaction_on,1,104710144,104710144,0,0.0
compaction_agent_compaction_on,2,222380032,117669888,104710144,0.4709
compaction_agent_compaction_on,3,56025088,29990912,26034176,0.4647
compaction_agent_compaction_on,4,151273472,95248384,56025088,0.3704
compaction_agent_compaction_on,5,174612480,23339008,151273472,0.8663
search_agent_broad,1,4644864,4644864,0,0.0
search_agent_broad,2,43122688,38477824,4644864,0.1077
search_agent_broad,3,82059264,19783680,62275584,0.7589
search_agent_broad,4,102301696,1089536,101212160,0.9893
search_agent_targeted,1,4644864,4644864,0,0.0
search_agent_targeted,2,30679040,26034176,4644864,0.1514
search_agent_targeted,3,56999936,7168000,49831936,0.8742
search_agent_targeted,4,77242368,1089536,76152832,0.9859
