trace,workload,condition,semantic_type,n_logical_objects,unique_baseline_bytes,text_tokens_snapshot_bytes,kv_one_snapshot_bytes,spatial_snapshot_bytes,text_tokens_duplication_factor,kv_text_amplification,cumulative_create_bytes,cumulative_kv_create_bytes
coding_agent_cache_off.jsonl,coding_agent,cache_off,assistant_history,5,1495,3039,19210240,19213279,2.033,12849.659,50637791,50634752
coding_agent_cache_off.jsonl,coding_agent,cache_off,file_content,3,250,586,2179072,2179658,2.344,8716.288,8716874,8716288
coding_agent_cache_off.jsonl,coding_agent,cache_off,prompt_template,1,172032,0,172032,172032,0.0,1.0,860160,860160
coding_agent_cache_off.jsonl,coding_agent,cache_off,system_prompt,1,119,223,1777664,1777887,1.874,14938.353,8888543,8888320
coding_agent_cache_off.jsonl,coding_agent,cache_off,tool_result,2,155,335,3153920,3154255,2.161,20347.871,10093086,10092544
coding_agent_cache_off.jsonl,coding_agent,cache_off,user_problem,1,139,271,2179072,2179343,1.95,15676.777,10895631,10895360
coding_agent_cache_on.jsonl,coding_agent,cache_on,assistant_history,5,1678,3410,20070400,20073810,2.032,11960.906,51727698,51724288
coding_agent_cache_on.jsonl,coding_agent,cache_on,file_content,3,250,586,2179072,2179658,2.344,8716.288,8716874,8716288
coding_agent_cache_on.jsonl,coding_agent,cache_on,prompt_template,1,172032,0,172032,172032,0.0,1.0,860160,860160
coding_agent_cache_on.jsonl,coding_agent,cache_on,system_prompt,1,119,223,1777664,1777887,1.874,14938.353,8888543,8888320
coding_agent_cache_on.jsonl,coding_agent,cache_on,tool_result,2,155,335,3153920,3154255,2.161,20347.871,10093086,10092544
coding_agent_cache_on.jsonl,coding_agent,cache_on,user_problem,1,139,271,2179072,2179343,1.95,15676.777,10895631,10895360
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,assistant_history,4,8655,14799,66920448,66935247,1.71,7731.999,223086677,223068160
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,plan_state,1,75,127,1032192,1032319,1.693,13762.56,1032319,1032192
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,prompt_template,1,172032,0,172032,172032,0.0,1.0,860160,860160
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,raw_context,3,18602,37326,269287424,269324750,2.007,14476.262,1032286670,1032249344
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,system_prompt,1,131,227,1662976,1663203,1.733,12694.473,8315107,8314880
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,user_problem,1,149,261,1892352,1892613,1.752,12700.349,9462021,9461760
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,assistant_history,5,10915,18595,89227264,89245859,1.704,8174.738,223086755,223068160
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,compacted_summary,1,513,1029,7684096,7685125,2.006,14978.745,23053317,23052288
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,plan_state,1,75,127,1032192,1032319,1.693,13762.56,1032319,1032192
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,prompt_template,1,172032,0,172032,172032,0.0,1.0,860160,860160
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,raw_context,3,18602,37326,269287424,269324750,2.007,14476.262,443249102,443211776
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,system_prompt,1,131,227,1662976,1663203,1.733,12694.473,8315107,8314880
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,user_problem,1,149,261,1892352,1892613,1.752,12700.349,9462021,9461760
search_agent_broad.jsonl,search_agent,broad,assistant_history,1,1650,2966,19152896,19155862,1.798,11607.816,114929240,114917376
search_agent_broad.jsonl,search_agent,broad,plan_state,1,73,129,1089536,1089665,1.767,14925.151,1089665,1089536
search_agent_broad.jsonl,search_agent,broad,prompt_template,1,172032,0,172032,172032,0.0,1.0,688128,688128
search_agent_broad.jsonl,search_agent,broad,retrieved_snippet,2,672,1256,8945664,8946920,1.869,13312.0,22250728,22249472
search_agent_broad.jsonl,search_agent,broad,search_corpus_scan,2,88372,88372,0,88372,1.0,0.0,88372,0
search_agent_broad.jsonl,search_agent,broad,search_result,2,2318,4382,30162944,30167326,1.89,13012.487,75297054,75292672
search_agent_broad.jsonl,search_agent,broad,system_prompt,1,125,225,1720320,1720545,1.8,13762.56,6881505,6881280
search_agent_broad.jsonl,search_agent,broad,user_problem,1,217,389,2752512,2752901,1.793,12684.387,11010437,11010048
search_agent_targeted.jsonl,search_agent,targeted,assistant_history,1,1650,2966,19152896,19155862,1.798,11607.816,114929240,114917376
search_agent_targeted.jsonl,search_agent,targeted,plan_state,1,73,129,1089536,1089665,1.767,14925.151,1089665,1089536
search_agent_targeted.jsonl,search_agent,targeted,prompt_template,1,172032,0,172032,172032,0.0,1.0,688128,688128
search_agent_targeted.jsonl,search_agent,targeted,retrieved_snippet,2,350,634,4644864,4645498,1.811,13271.04,11584122,11583488
search_agent_targeted.jsonl,search_agent,targeted,search_corpus_scan,2,88372,88372,0,88372,1.0,0.0,88372,0
search_agent_targeted.jsonl,search_agent,targeted,search_result,2,691,1307,9404416,9405723,1.891,13609.864,23397659,23396352
search_agent_targeted.jsonl,search_agent,targeted,system_prompt,1,125,225,1720320,1720545,1.8,13762.56,6881505,6881280
search_agent_targeted.jsonl,search_agent,targeted,user_problem,1,217,389,2752512,2752901,1.793,12684.387,11010437,11010048
