trace,workload,condition,semantic_type,logical_projected_kv_bytes,cached_reuse_kv_bytes,cache_adjusted_new_kv_bytes
coding_agent_cache_off.jsonl,coding_agent,cache_off,assistant_history,50634752,0,50634752
coding_agent_cache_off.jsonl,coding_agent,cache_off,file_content,8716288,0,8716288
coding_agent_cache_off.jsonl,coding_agent,cache_off,prompt_template,860160,0,860160
coding_agent_cache_off.jsonl,coding_agent,cache_off,system_prompt,8888320,0,8888320
coding_agent_cache_off.jsonl,coding_agent,cache_off,tool_result,10092544,0,10092544
coding_agent_cache_off.jsonl,coding_agent,cache_off,user_problem,10895360,0,10895360
coding_agent_cache_on.jsonl,coding_agent,cache_on,assistant_history,51724288,49659904,2064384
coding_agent_cache_on.jsonl,coding_agent,cache_on,file_content,8716288,6537216,2179072
coding_agent_cache_on.jsonl,coding_agent,cache_on,prompt_template,860160,0,860160
coding_agent_cache_on.jsonl,coding_agent,cache_on,system_prompt,8888320,7110656,1777664
coding_agent_cache_on.jsonl,coding_agent,cache_on,tool_result,10092544,5046272,5046272
coding_agent_cache_on.jsonl,coding_agent,cache_on,user_problem,10895360,8716288,2179072
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,assistant_history,223068160,221061120,2007040
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,plan_state,1032192,0,1032192
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,prompt_template,860160,0,860160
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,raw_context,1032249344,762961920,269287424
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,system_prompt,8314880,6651904,1662976
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,user_problem,9461760,7569408,1892352
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,assistant_history,223068160,177135616,45932544
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,compacted_summary,23052288,15368192,7684096
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,plan_state,1032192,0,1032192
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,prompt_template,860160,0,860160
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,raw_context,443211776,173924352,269287424
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,system_prompt,8314880,6651904,1662976
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,user_problem,9461760,6766592,2695168
search_agent_broad.jsonl,search_agent,broad,assistant_history,114917376,113483776,1433600
search_agent_broad.jsonl,search_agent,broad,plan_state,1089536,0,1089536
search_agent_broad.jsonl,search_agent,broad,prompt_template,688128,0,688128
search_agent_broad.jsonl,search_agent,broad,retrieved_snippet,22249472,13303808,8945664
search_agent_broad.jsonl,search_agent,broad,search_result,75292672,45129728,30162944
search_agent_broad.jsonl,search_agent,broad,system_prompt,6881280,5160960,1720320
search_agent_broad.jsonl,search_agent,broad,user_problem,11010048,8257536,2752512
search_agent_targeted.jsonl,search_agent,targeted,assistant_history,114917376,113369088,1548288
search_agent_targeted.jsonl,search_agent,targeted,plan_state,1089536,0,1089536
search_agent_targeted.jsonl,search_agent,targeted,prompt_template,688128,0,688128
search_agent_targeted.jsonl,search_agent,targeted,retrieved_snippet,11583488,6938624,4644864
search_agent_targeted.jsonl,search_agent,targeted,search_result,23396352,13991936,9404416
search_agent_targeted.jsonl,search_agent,targeted,system_prompt,6881280,5160960,1720320
search_agent_targeted.jsonl,search_agent,targeted,user_problem,11010048,8257536,2752512
