trace,workload,condition,semantic_type,n_objects,n_logical_objects,byte_seconds,byte_steps,max_lifetime_steps,logical_read_events,mutate_events
coding_agent_cache_off.jsonl,coding_agent,cache_off,assistant_history,20,5,27238892.358,31431069,4,20,0
coding_agent_cache_off.jsonl,coding_agent,cache_off,file_content,10,3,5472049.131,6538856,4,8,2
coding_agent_cache_off.jsonl,coding_agent,cache_off,prompt_template,5,1,508336.33,688128,1,0,0
coding_agent_cache_off.jsonl,coding_agent,cache_off,system_prompt,7,1,5256491.039,7111771,5,10,0
coding_agent_cache_off.jsonl,coding_agent,cache_off,tool_result,12,2,5090879.839,5047356,3,12,0
coding_agent_cache_off.jsonl,coding_agent,cache_off,user_problem,7,1,6442530.221,8717643,5,10,0
coding_agent_cache_on.jsonl,coding_agent,cache_on,assistant_history,20,5,33094541.16,31660610,4,30,0
coding_agent_cache_on.jsonl,coding_agent,cache_on,file_content,10,3,6080283.356,6538856,4,11,2
coding_agent_cache_on.jsonl,coding_agent,cache_on,prompt_template,5,1,556136.686,688128,1,0,0
coding_agent_cache_on.jsonl,coding_agent,cache_on,system_prompt,7,1,5750728.102,7111771,5,14,0
coding_agent_cache_on.jsonl,coding_agent,cache_on,tool_result,12,2,6375733.921,5047356,3,15,0
coding_agent_cache_on.jsonl,coding_agent,cache_on,user_problem,7,1,7048322.823,8717643,5,14,0
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,assistant_history,20,4,606827134.124,133877928,4,30,0
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,plan_state,3,1,2770290.425,0,0,2,0
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,prompt_template,5,1,2337817.967,688128,1,0,0
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,raw_context,17,3,2810138513.043,763066786,4,30,0
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,system_prompt,7,1,22611617.417,6653039,5,14,0
compaction_agent_compaction_off.jsonl,compaction_agent,compaction_off,user_problem,7,1,25728009.841,7570713,5,14,0
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,assistant_history,20,5,594471306.683,133878066,4,28,0
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,compacted_summary,5,1,61448960.333,15370250,2,8,0
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,plan_state,3,1,2690331.62,0,0,2,0
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,prompt_template,5,1,2308298.569,688128,1,0,0
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,raw_context,11,3,1196030380.024,370321154,2,12,0
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,system_prompt,7,1,22323945.918,6653039,5,14,0
compaction_agent_compaction_on.jsonl,compaction_agent,compaction_on,user_problem,7,1,25401149.149,7570713,5,14,0
search_agent_broad.jsonl,search_agent,broad,assistant_history,14,1,260302594.663,57476484,3,18,0
search_agent_broad.jsonl,search_agent,broad,plan_state,3,1,2460623.087,129,1,2,0
search_agent_broad.jsonl,search_agent,broad,prompt_template,4,1,1573347.729,516096,1,0,0
search_agent_broad.jsonl,search_agent,broad,retrieved_snippet,9,2,50416389.95,13306909,3,13,0
search_agent_broad.jsonl,search_agent,broad,search_result,9,2,170625330.444,45140611,3,13,0
search_agent_broad.jsonl,search_agent,broad,system_prompt,6,1,15742061.276,5161860,4,11,0
search_agent_broad.jsonl,search_agent,broad,user_problem,6,1,25186242.25,8259092,4,11,0
search_agent_targeted.jsonl,search_agent,targeted,assistant_history,14,1,257509375.265,57476484,3,18,0
search_agent_targeted.jsonl,search_agent,targeted,plan_state,3,1,2418777.179,129,1,2,0
search_agent_targeted.jsonl,search_agent,targeted,prompt_template,4,1,1564268.134,516096,1,0,0
search_agent_targeted.jsonl,search_agent,targeted,retrieved_snippet,9,2,26001085.715,6940192,3,13,0
search_agent_targeted.jsonl,search_agent,targeted,search_result,9,2,52516955.526,13995163,3,13,0
search_agent_targeted.jsonl,search_agent,targeted,system_prompt,6,1,15649006.865,5161860,4,11,0
search_agent_targeted.jsonl,search_agent,targeted,user_problem,6,1,25037399.117,8259092,4,11,0
