trace,n_events,n_physical_events,n_logical_ids,n_objects,total_physical_bytes,unique_logical_bytes,duplication_factor,median_lifetime_s,max_lifetime_s,median_access_count,max_access_count,total_read_events,total_mutate_events
hello_bug_cache_off_t0.0.jsonl,66,66,13,24,64113653,64112052,1.0,3.397,7.24,2,4,40,2
hello_bug_cache_off_t0.3.jsonl,66,66,13,24,64113653,64112052,1.0,3.399,7.351,2,4,40,2
hello_bug_cache_off_t0.5.jsonl,66,66,13,24,64113653,64112052,1.0,3.408,7.429,2,4,40,2
hello_bug_cache_off_t0.7.jsonl,66,66,13,24,64113653,64112052,1.0,3.419,7.339,2,4,40,2
hello_bug_cache_off_t1.0.jsonl,124,124,18,36,185458009,185453790,1.0,4.52,11.238,2,6,86,2
hello_bug_cache_on_t0.0.jsonl,69,69,13,24,64113653,64112052,1.0,3.383,6.41,2,4,43,2
hello_bug_cache_on_t0.3.jsonl,69,69,13,24,64113653,64112052,1.0,3.416,6.392,2,4,43,2
hello_bug_cache_on_t0.5.jsonl,69,69,13,24,64113653,64112052,1.0,3.387,6.357,2,4,43,2
hello_bug_cache_on_t0.7.jsonl,69,69,13,24,64113653,64112052,1.0,3.39,6.531,2,4,43,2
hello_bug_cache_on_t1.0.jsonl,129,129,18,36,185458009,185453790,1.0,3.949,9.966,2,6,91,2
recursion_bug_cache_off_t0.0.jsonl,66,66,13,24,94679983,94677179,1.0,7.875,12.111,2,4,40,2
recursion_bug_cache_off_t0.3.jsonl,66,66,13,24,94679993,94677181,1.0,7.884,11.758,2,4,40,2
recursion_bug_cache_off_t0.5.jsonl,66,66,13,24,95712285,95709425,1.0,8.364,12.283,2,4,40,2
recursion_bug_cache_off_t0.7.jsonl,66,66,13,24,94565289,94562485,1.0,7.825,11.751,2,4,40,2
recursion_bug_cache_off_t1.0.jsonl,66,66,13,24,93877151,93874355,1.0,8.306,11.856,2,4,40,2
recursion_bug_cache_on_t0.0.jsonl,69,69,13,24,94679983,94677179,1.0,7.809,10.833,2,4,43,2
recursion_bug_cache_on_t0.3.jsonl,69,69,13,24,94679993,94677181,1.0,7.888,10.968,2,4,43,2
recursion_bug_cache_on_t0.5.jsonl,69,69,13,24,95712285,95709425,1.0,8.395,11.609,2,4,43,2
recursion_bug_cache_on_t0.7.jsonl,69,69,13,24,95826970,95824110,1.0,8.442,11.282,2,4,43,2
recursion_bug_cache_on_t1.0.jsonl,69,69,13,24,93877151,93874355,1.0,7.638,10.438,2,4,43,2
